"code","name","country_id/.id","id"
1,Adrar,62,state_dz_1
2,Chlef,62,state_dz_2
3,Laghouat,62,state_dz_3
4,Oum El Bouaghi,62,state_dz_4
5,Batna,62,state_dz_5
6,Béjaïa,62,state_dz_6
7,Biskra,62,state_dz_7
8,Béchar,62,state_dz_8
9,Blida,62,state_dz_9
10,Bouira,62,state_dz_10
11,Tamanrasset,62,state_dz_11
12,Tébessa,62,state_dz_12
13,Tlemcen,62,state_dz_13
14,Tiaret,62,state_dz_14
15,Tizi Ouzou,62,state_dz_15
16,Alger,62,state_dz_16
17,Djelfa,62,state_dz_17
18,Jijel,62,state_dz_18
19,Sétif,62,state_dz_19
20,Saïda,62,state_dz_20
21,Skikda,62,state_dz_21
22,Sidi Bel Abbès,62,state_dz_22
23,Annaba,62,state_dz_23
24,Guelma,62,state_dz_24
25,Constantine,62,state_dz_25
26,Médéa,62,state_dz_26
27,Mostaganem,62,state_dz_27
28,M'Sila,62,state_dz_28
29,Mascara,62,state_dz_29
30,Ouargla,62,state_dz_30
31,Oran,62,state_dz_31
32,El Bayadh,62,state_dz_32
33,Illizi,62,state_dz_33
34,Bordj Bou Arreridj,62,state_dz_34
35,Boumerdès,62,state_dz_35
36,El Tarf,62,state_dz_36
37,Tindouf,62,state_dz_37
38,Tissemsilt,62,state_dz_38
39,El Oued,62,state_dz_39
40,Khenchela,62,state_dz_40
41,Souk Ahras,62,state_dz_41
42,Tipaza,62,state_dz_42
43,Mila,62,state_dz_43
44,Aïn Defla,62,state_dz_44
45,Naâma,62,state_dz_45
46,Aïn Témouchent,62,state_dz_46
47,Ghardaïa,62,state_dz_47
48,Relizane,62,state_dz_48